timestamp,source_ip,destination_ip,protocol,port,event_type,error_code,malware_name,intrusion_type,severity,message
30-10-2021 12:45,192.168.1.10,10.0.0.1,TCP,80,error,404,,,low,HTTP 404 Not Found - Requested page not found
30-10-2021 12:46,192.168.1.15,10.0.0.5,UDP,443,malware,,Trojan.Win32.Generic,,critical,Malware detected: Trojan.Win32.Generic attempting connection
30-10-2021 12:47,10.0.0.2,192.168.1.20,ICMP,,intrusion,,,SQL Injection,high,Intrusion detected: SQL Injection attempt from 10.0.0.2
30-10-2021 12:48,172.16.1.100,10.0.0.10,TCP,22,malware,,Worm.Win32.Downloader,,critical,Malware detected: Worm.Win32.Downloader attempting access on port 22
30-10-2021 12:49,10.0.0.3,192.168.1.25,UDP,53,intrusion,,,DDoS,high,Intrusion detected: Distributed Denial of Service (DDoS) attack targeting DNS
30-10-2021 12:50,192.168.1.30,10.0.0.12,TCP,80,error,500,,,medium,HTTP 500 Internal Server Error - Server issue detected
30-10-2021 12:51,192.168.1.35,10.0.0.14,UDP,8080,malware,,Spyware.Win32.Stealer,,high,Malware detected: Spyware.Win32.Stealer attempting data exfiltration
30-10-2021 12:52,10.0.0.5,192.168.1.40,ICMP,,intrusion,,,Brute Force,medium,Intrusion detected: Brute Force attempt from 10.0.0.5 on multiple ports
30-10-2021 12:53,192.168.1.45,10.0.0.20,TCP,21,error,403,,,low,HTTP 403 Forbidden - Unauthorized access attempt
30-10-2021 12:54,192.168.1.50,10.0.0.25,UDP,445,malware,,Ransomware.Win32.Locky,,critical,Malware detected: Ransomware.Win32.Locky attempting to encrypt files
